id,issue_type,complaint_text,area,votes,attachments,priority_label
2924,Electricity Outage,No electricity since morning,Dhanbad,84,5,High
2925,Noise Pollution,DJ loud hai,Jamshedpur,2,4,Medium
2926,Water Leakage,pipe se pani nikal raha hai,Chaibasa,70,2,High
2927,Noise Pollution,Loud noise,Chaibasa,48,5,High
2928,Drainage Blockage,Drain blocked,Hazaribagh,17,5,High
2929,Electricity Outage,No electricity since morning,Chaibasa,64,0,Low
2930,Illegal Parking,Cars parked illegally,Dhanbad,89,2,High
2931,Public Toilet Issue,smelly toilet,Deoghar,31,4,High
2932,Streetlight Not Working,Light not working,Giridih,16,1,Low
2933,Noise Pollution,Loud noise,Hazaribagh,67,3,High
2934,Public Toilet Issue,Toilet unclean,Dhanbad,85,1,High
2935,Water Leakage,Pipeline burst,Dhanbad,21,3,High
2936,Noise Pollution,DJ loud hai,Dhanbad,74,3,Medium
2937,Noise Pollution,DJ loud hai,Bokaro,84,1,High
2938,Illegal Parking,Blocking road,Chaibasa,71,4,High
2939,Illegal Parking,no parking followed,Jamshedpur,1,2,Medium
2940,Electricity Outage,No electricity since morning,Jamshedpur,77,1,High
2941,Noise Pollution,high sound pollution,Dhanbad,10,1,High
2942,Electricity Outage,power outage,Chaibasa,6,5,High
2943,Garbage Dump,Overflowing garbage,Bokaro,39,5,High
2944,Streetlight Not Working,Street dark at night,Ranchi,38,0,Medium
2945,Road Damage,bad road condition,Ranchi,60,1,Medium
2946,Water Leakage,leakage of pani,Dhanbad,95,5,High
2947,Water Leakage,Water leakage near colony,Dhanbad,7,4,High
2948,Public Toilet Issue,smelly toilet,Jamshedpur,54,3,High
2949,Noise Pollution,Noise disturbing area,Ranchi,99,4,Medium
2950,Drainage Blockage,dirty water overflow,Ranchi,31,5,High
2951,Illegal Parking,no parking followed,Chaibasa,73,2,Medium
2952,Electricity Outage,No electricity since morning,Bokaro,0,2,High
2953,Streetlight Not Working,Streetlight issue,Bokaro,9,5,High
2954,Pothole,khadda on street,Chaibasa,6,3,Medium
2955,Drainage Blockage,Drain blocked,Giridih,7,1,Medium
2956,Pothole,Big pothole on road,Deoghar,18,5,High
2957,Public Toilet Issue,Public toilet problem,Hazaribagh,5,1,Medium
2958,Public Toilet Issue,smelly toilet,Ranchi,36,4,High
2959,Road Damage,road crack,Bokaro,53,1,Medium
2960,Public Toilet Issue,Toilet unclean,Jamshedpur,52,2,High
2961,Road Damage,bad road condition,Jamshedpur,99,2,Medium
2962,Road Damage,road crack,Jamshedpur,75,2,High
2963,Noise Pollution,Loud noise,Deoghar,9,4,High
2964,Garbage Dump,Garbage not collected,Hazaribagh,41,3,High
2965,Streetlight Not Working,Streetlight issue,Jamshedpur,77,5,Medium
2966,Pothole,Big pothole on road,Bokaro,36,0,High
2967,Road Damage,Sadak kharab hai,Bokaro,35,0,Low
2968,Noise Pollution,Loud noise,Dhanbad,48,3,High
2969,Road Damage,Road damaged,Hazaribagh,51,5,Medium
2970,Drainage Blockage,Drain blocked,Deoghar,20,4,High
2971,Noise Pollution,Noise disturbing area,Bokaro,26,1,Low
2972,Streetlight Not Working,bulb kharab,Hazaribagh,77,3,High
2973,Pothole,Big pothole on road,Chaibasa,97,3,High
2974,Pothole,Big pothole on road,Ranchi,76,1,High
2975,Electricity Outage,Bijli chali gayi,Jamshedpur,28,0,Medium
2976,Illegal Parking,illegal gaadi parking,Deoghar,12,0,Medium
2977,Illegal Parking,Cars parked illegally,Jamshedpur,30,1,Medium
2978,Public Toilet Issue,Public toilet problem,Dhanbad,87,5,Medium
2979,Pothole,pothol road broken hai,Hazaribagh,60,3,High
2980,Pothole,Road broken badly,Dhanbad,68,5,Medium
2981,Garbage Dump,kachra bahut hai,Deoghar,79,4,Medium
2982,Illegal Parking,no parking followed,Giridih,52,1,High
2983,Pothole,Road broken badly,Ranchi,46,1,High
2984,Pothole,khadda on street,Chaibasa,16,2,Low
2985,Pothole,Road broken badly,Giridih,42,0,Low
2986,Pothole,Big pothole on road,Dhanbad,47,0,Medium
2987,Noise Pollution,Loud noise,Jamshedpur,69,4,Medium
2988,Water Leakage,Pipeline burst,Bokaro,7,5,High
2989,Drainage Blockage,dirty water overflow,Bokaro,20,5,High
2990,Drainage Blockage,dirty water overflow,Dhanbad,29,0,High
2991,Pothole,khadda on street,Deoghar,17,3,High
2992,Electricity Outage,Power cut in area,Dhanbad,80,4,High
2993,Electricity Outage,Bijli chali gayi,Deoghar,88,2,High
2994,Garbage Dump,Garbage not collected,Giridih,91,4,High
2995,Electricity Outage,power outage,Giridih,97,2,High
2996,Drainage Blockage,dirty water overflow,Chaibasa,19,0,High
2997,Streetlight Not Working,Street dark at night,Giridih,52,0,Medium
2998,Electricity Outage,power outage,Dhanbad,57,5,High
2999,Drainage Blockage,Drain blocked,Deoghar,8,2,High
3000,Garbage Dump,ganda kachra near market,Jamshedpur,56,1,High
3001,Drainage Blockage,Drainage issue,Ranchi,67,3,High
3002,Streetlight Not Working,Streetlight issue,Hazaribagh,75,2,High
3003,Electricity Outage,Bijli chali gayi,Deoghar,93,5,High
3004,Public Toilet Issue,toilet band hai,Deoghar,74,0,Medium
3005,Road Damage,bad road condition,Giridih,81,4,Medium
3006,Illegal Parking,illegal gaadi parking,Giridih,74,1,High
3007,Drainage Blockage,Drainage issue,Chaibasa,91,4,High
3008,Pothole,Big pothole on road,Chaibasa,47,5,High
3009,Public Toilet Issue,smelly toilet,Jamshedpur,60,5,High
3010,Noise Pollution,Noise disturbing area,Ranchi,23,1,Medium
3011,Water Leakage,Water leakage near colony,Chaibasa,88,5,High
3012,Illegal Parking,no parking followed,Ranchi,37,2,Low
3013,Water Leakage,Water leakage near colony,Giridih,50,3,High
3014,Noise Pollution,Noise disturbing area,Bokaro,90,1,High
3015,Water Leakage,leakage of pani,Jamshedpur,2,4,High
3016,Streetlight Not Working,bulb kharab,Hazaribagh,29,1,Low
3017,Garbage Dump,Overflowing garbage,Dhanbad,77,4,High
3018,Garbage Dump,kachra bahut hai,Deoghar,42,2,High
3019,Drainage Blockage,Nali jam hai,Jamshedpur,55,4,High
3020,Illegal Parking,no parking followed,Bokaro,100,2,Medium
3021,Water Leakage,pipe se pani nikal raha hai,Chaibasa,16,3,High
3022,Road Damage,bad road condition,Giridih,89,0,Medium
3023,Pothole,Big pothole on road,Deoghar,26,4,Medium
3024,Drainage Blockage,Nali jam hai,Hazaribagh,21,4,High
3025,Public Toilet Issue,Public toilet problem,Ranchi,90,2,High
3026,Illegal Parking,Blocking road,Dhanbad,60,2,High
3027,Pothole,Big pothole on road,Ranchi,55,1,Medium
3028,Drainage Blockage,dirty water overflow,Hazaribagh,81,3,High
3029,Drainage Blockage,Drain blocked,Bokaro,76,3,High
3030,Noise Pollution,Loud noise,Hazaribagh,86,3,High
3031,Pothole,pothol road broken hai,Deoghar,75,5,Medium
3032,Streetlight Not Working,bulb kharab,Giridih,18,3,Medium
3033,Noise Pollution,DJ loud hai,Jamshedpur,32,3,High
3034,Road Damage,road crack,Jamshedpur,83,0,Medium
3035,Electricity Outage,Bijli chali gayi,Jamshedpur,2,0,Medium
3036,Water Leakage,pipe se pani nikal raha hai,Hazaribagh,17,1,High
3037,Water Leakage,pipe se pani nikal raha hai,Chaibasa,43,3,High
3038,Water Leakage,pipe se pani nikal raha hai,Chaibasa,16,1,High
3039,Electricity Outage,power outage,Ranchi,8,3,High
3040,Electricity Outage,power outage,Deoghar,73,5,High
3041,Road Damage,road crack,Ranchi,34,3,High
3042,Noise Pollution,DJ loud hai,Bokaro,99,3,Medium
3043,Public Toilet Issue,Toilet unclean,Giridih,19,1,Low
3044,Water Leakage,pipe se pani nikal raha hai,Giridih,53,0,High
3045,Drainage Blockage,Drainage issue,Giridih,93,3,High
3046,Illegal Parking,Blocking road,Deoghar,41,2,Medium
3047,Public Toilet Issue,Toilet unclean,Ranchi,55,2,Medium
3048,Illegal Parking,Cars parked illegally,Hazaribagh,67,1,High
3049,Drainage Blockage,Drainage issue,Dhanbad,13,1,Medium
3050,Noise Pollution,Loud noise,Hazaribagh,78,3,High
3051,Road Damage,Road damaged,Giridih,52,4,High
3052,Public Toilet Issue,toilet band hai,Jamshedpur,5,5,Medium
3053,Noise Pollution,DJ loud hai,Dhanbad,38,2,Medium
3054,Drainage Blockage,Drain blocked,Bokaro,93,0,High
3055,Garbage Dump,ganda kachra near market,Ranchi,27,2,High
3056,Public Toilet Issue,smelly toilet,Dhanbad,73,3,Medium
3057,Streetlight Not Working,Light not working,Hazaribagh,46,3,Medium
3058,Drainage Blockage,Drainage issue,Chaibasa,96,3,Medium
3059,Public Toilet Issue,smelly toilet,Bokaro,81,5,High
3060,Road Damage,Road damaged,Giridih,5,1,Medium
3061,Pothole,Road broken badly,Deoghar,29,0,Medium
3062,Pothole,Road broken badly,Hazaribagh,59,1,High
3063,Public Toilet Issue,toilet band hai,Giridih,60,2,Medium
3064,Electricity Outage,No electricity since morning,Giridih,8,4,High
3065,Streetlight Not Working,bulb kharab,Dhanbad,0,4,High
3066,Road Damage,Sadak kharab hai,Giridih,35,0,Medium
3067,Illegal Parking,Blocking road,Deoghar,3,5,Medium
3068,Illegal Parking,Cars parked illegally,Bokaro,61,2,Medium
3069,Illegal Parking,Cars parked illegally,Bokaro,51,1,High
3070,Garbage Dump,Garbage not collected,Dhanbad,59,4,High
3071,Drainage Blockage,Drain blocked,Giridih,72,2,High
3072,Public Toilet Issue,toilet band hai,Bokaro,92,1,Medium
3073,Pothole,khadda on street,Bokaro,19,1,Medium
3074,Drainage Blockage,Drain blocked,Chaibasa,34,5,High
3075,Public Toilet Issue,Toilet unclean,Hazaribagh,74,2,High
3076,Drainage Blockage,Drain blocked,Jamshedpur,25,4,High
3077,Garbage Dump,Garbage not collected,Jamshedpur,45,4,High
3078,Drainage Blockage,Nali jam hai,Giridih,65,4,High
3079,Road Damage,Sadak kharab hai,Giridih,65,3,High
3080,Public Toilet Issue,Public toilet problem,Dhanbad,51,0,High
3081,Noise Pollution,Loud noise,Deoghar,3,5,High
3082,Noise Pollution,Loud noise,Giridih,82,4,High
3083,Public Toilet Issue,Toilet unclean,Giridih,0,3,High
3084,Streetlight Not Working,Streetlight issue,Dhanbad,61,1,High
3085,Road Damage,bad road condition,Hazaribagh,84,3,Medium
3086,Illegal Parking,Blocking road,Chaibasa,62,2,Medium
3087,Streetlight Not Working,Light not working,Chaibasa,43,2,Medium
3088,Water Leakage,leakage of pani,Jamshedpur,84,1,High
3089,Drainage Blockage,Drainage issue,Ranchi,56,5,High
3090,Noise Pollution,Noise disturbing area,Bokaro,86,5,Medium
3091,Road Damage,Road damaged,Jamshedpur,68,1,High
3092,Pothole,Road broken badly,Jamshedpur,83,5,High
3093,Pothole,Big pothole on road,Chaibasa,25,3,High
3094,Road Damage,bad road condition,Ranchi,77,0,Medium
3095,Pothole,pothol road broken hai,Hazaribagh,18,1,Medium
3096,Public Toilet Issue,Public toilet problem,Ranchi,73,2,High
3097,Electricity Outage,Bijli chali gayi,Giridih,2,0,Medium
3098,Public Toilet Issue,Toilet unclean,Bokaro,64,5,Medium
3099,Water Leakage,pipe se pani nikal raha hai,Dhanbad,76,5,High
3100,Streetlight Not Working,Light not working,Dhanbad,90,0,Medium
3101,Electricity Outage,Bijli chali gayi,Bokaro,82,1,High
3102,Drainage Blockage,Drainage issue,Deoghar,8,4,High
3103,Pothole,pothol road broken hai,Hazaribagh,59,1,High
3104,Illegal Parking,illegal gaadi parking,Jamshedpur,22,5,Medium
3105,Garbage Dump,Overflowing garbage,Hazaribagh,80,3,Medium
3106,Water Leakage,pipe se pani nikal raha hai,Jamshedpur,21,0,High
3107,Electricity Outage,No electricity since morning,Hazaribagh,12,1,Medium
3108,Noise Pollution,high sound pollution,Bokaro,32,4,Medium
3109,Water Leakage,pipe se pani nikal raha hai,Dhanbad,75,5,High
3110,Streetlight Not Working,Streetlight issue,Dhanbad,98,0,High
3111,Pothole,Road broken badly,Giridih,73,5,Medium
3112,Public Toilet Issue,toilet band hai,Giridih,58,0,Medium
3113,Illegal Parking,Cars parked illegally,Dhanbad,30,2,Medium
3114,Streetlight Not Working,Light not working,Ranchi,34,4,High
3115,Illegal Parking,Blocking road,Giridih,70,1,High
3116,Public Toilet Issue,Public toilet problem,Deoghar,78,0,High
3117,Electricity Outage,Bijli chali gayi,Dhanbad,37,0,High
3118,Electricity Outage,No electricity since morning,Giridih,50,2,High
3119,Garbage Dump,ganda kachra near market,Bokaro,70,3,High
3120,Noise Pollution,Noise disturbing area,Giridih,100,2,High
3121,Public Toilet Issue,smelly toilet,Giridih,87,3,Low
3122,Road Damage,road crack,Dhanbad,41,0,Medium
3123,Electricity Outage,power outage,Hazaribagh,99,2,High
3124,Streetlight Not Working,Streetlight issue,Hazaribagh,73,0,High
3125,Drainage Blockage,Drainage issue,Jamshedpur,35,3,High
3126,Water Leakage,leakage of pani,Jamshedpur,45,0,High
3127,Public Toilet Issue,Toilet unclean,Bokaro,75,2,Medium
3128,Noise Pollution,high sound pollution,Bokaro,41,2,Medium
3129,Streetlight Not Working,Light not working,Deoghar,6,5,Medium
3130,Streetlight Not Working,Light not working,Bokaro,10,2,Low
3131,Illegal Parking,no parking followed,Giridih,61,4,High
3132,Garbage Dump,Overflowing garbage,Jamshedpur,70,3,High
3133,Illegal Parking,Blocking road,Deoghar,38,1,Low
3134,Pothole,Road broken badly,Bokaro,18,3,High
3135,Electricity Outage,Power cut in area,Bokaro,22,5,High
3136,Water Leakage,leakage of pani,Deoghar,64,3,High
3137,Water Leakage,Pipeline burst,Jamshedpur,21,2,High
3138,Public Toilet Issue,Toilet unclean,Deoghar,4,0,Low
3139,Pothole,Road broken badly,Giridih,12,3,Medium
3140,Water Leakage,Pipeline burst,Ranchi,17,2,Medium
3141,Water Leakage,Pipeline burst,Dhanbad,23,5,High
3142,Noise Pollution,Loud noise,Jamshedpur,96,0,Medium
3143,Streetlight Not Working,Street dark at night,Bokaro,73,0,High
3144,Garbage Dump,Garbage not collected,Bokaro,27,1,Low
3145,Drainage Blockage,Nali jam hai,Hazaribagh,16,1,High
3146,Noise Pollution,DJ loud hai,Ranchi,56,3,High
3147,Electricity Outage,No electricity since morning,Ranchi,22,5,High
3148,Public Toilet Issue,smelly toilet,Hazaribagh,80,1,Medium
3149,Illegal Parking,no parking followed,Deoghar,99,0,Medium
3150,Drainage Blockage,dirty water overflow,Hazaribagh,72,0,High
3151,Streetlight Not Working,Streetlight issue,Ranchi,81,4,Medium
3152,Drainage Blockage,Drainage issue,Giridih,28,1,High
3153,Electricity Outage,No electricity since morning,Giridih,97,3,High
3154,Illegal Parking,no parking followed,Deoghar,16,5,High
3155,Illegal Parking,illegal gaadi parking,Dhanbad,63,4,High
3156,Public Toilet Issue,Public toilet problem,Giridih,82,5,High
3157,Electricity Outage,power outage,Hazaribagh,27,5,High
3158,Noise Pollution,high sound pollution,Jamshedpur,3,3,Medium
3159,Noise Pollution,high sound pollution,Jamshedpur,81,1,High
3160,Road Damage,Sadak kharab hai,Giridih,10,0,Medium
3161,Public Toilet Issue,toilet band hai,Dhanbad,26,3,Medium
3162,Pothole,khadda on street,Giridih,12,2,Low
3163,Illegal Parking,Cars parked illegally,Bokaro,93,2,High
3164,Streetlight Not Working,Streetlight issue,Chaibasa,75,2,Medium
3165,Noise Pollution,Noise disturbing area,Giridih,81,1,High
3166,Streetlight Not Working,Street dark at night,Chaibasa,76,0,High
3167,Electricity Outage,No electricity since morning,Giridih,1,1,High
3168,Garbage Dump,ganda kachra near market,Giridih,23,5,High
3169,Illegal Parking,Blocking road,Ranchi,57,5,Medium
3170,Streetlight Not Working,Light not working,Ranchi,76,0,High
3171,Noise Pollution,DJ loud hai,Giridih,3,0,Medium
3172,Garbage Dump,Garbage not collected,Bokaro,24,1,Medium
3173,Illegal Parking,illegal gaadi parking,Bokaro,61,5,High
3174,Road Damage,Road damaged,Jamshedpur,88,2,Medium
3175,Streetlight Not Working,Light not working,Hazaribagh,4,0,Medium
3176,Noise Pollution,Loud noise,Jamshedpur,84,5,High
3177,Water Leakage,pipe se pani nikal raha hai,Giridih,4,1,Medium
3178,Pothole,Road broken badly,Ranchi,95,0,Medium
3179,Streetlight Not Working,bulb kharab,Deoghar,33,4,High
3180,Streetlight Not Working,Streetlight issue,Jamshedpur,40,1,Low
3181,Garbage Dump,kachra bahut hai,Jamshedpur,62,4,High
3182,Public Toilet Issue,toilet band hai,Jamshedpur,12,5,Medium
3183,Garbage Dump,Overflowing garbage,Hazaribagh,74,5,High
3184,Pothole,pothol road broken hai,Jamshedpur,20,4,Medium
3185,Electricity Outage,Power cut in area,Chaibasa,40,1,Medium
3186,Public Toilet Issue,toilet band hai,Chaibasa,65,2,Medium
3187,Streetlight Not Working,Streetlight issue,Ranchi,70,0,Medium
3188,Illegal Parking,no parking followed,Hazaribagh,15,4,High
3189,Pothole,Big pothole on road,Bokaro,9,5,High
3190,Noise Pollution,high sound pollution,Dhanbad,84,3,High
3191,Drainage Blockage,dirty water overflow,Dhanbad,21,2,High
3192,Drainage Blockage,dirty water overflow,Jamshedpur,36,3,High
3193,Road Damage,bad road condition,Giridih,67,2,Medium
3194,Noise Pollution,Noise disturbing area,Ranchi,28,0,Medium
3195,Drainage Blockage,dirty water overflow,Deoghar,55,3,High
3196,Water Leakage,pipe se pani nikal raha hai,Jamshedpur,23,3,High
3197,Drainage Blockage,Drainage issue,Ranchi,51,2,Low
3198,Garbage Dump,Overflowing garbage,Hazaribagh,37,5,High
3199,Road Damage,road crack,Dhanbad,82,3,High
3200,Garbage Dump,ganda kachra near market,Giridih,0,0,Medium
3201,Garbage Dump,Overflowing garbage,Dhanbad,62,1,Medium
3202,Garbage Dump,kachra bahut hai,Dhanbad,15,2,Low
3203,Road Damage,road crack,Ranchi,19,2,Medium
3204,Drainage Blockage,Drain blocked,Hazaribagh,77,4,High
3205,Road Damage,Sadak kharab hai,Jamshedpur,34,3,High
3206,Streetlight Not Working,bulb kharab,Ranchi,44,5,Medium
3207,Water Leakage,Pipeline burst,Dhanbad,21,5,High
3208,Drainage Blockage,dirty water overflow,Ranchi,62,4,High
3209,Pothole,Big pothole on road,Hazaribagh,9,0,Medium
3210,Drainage Blockage,Drainage issue,Jamshedpur,31,2,Medium
3211,Garbage Dump,ganda kachra near market,Hazaribagh,83,2,Medium
3212,Water Leakage,Pipeline burst,Dhanbad,70,0,High
3213,Streetlight Not Working,bulb kharab,Bokaro,2,3,Medium
3214,Pothole,Big pothole on road,Chaibasa,86,1,High
3215,Noise Pollution,Noise disturbing area,Chaibasa,92,5,Medium
3216,Illegal Parking,illegal gaadi parking,Ranchi,76,4,Medium
3217,Public Toilet Issue,Toilet unclean,Hazaribagh,100,2,High
3218,Pothole,Big pothole on road,Giridih,53,4,High
3219,Noise Pollution,high sound pollution,Ranchi,69,3,High
3220,Public Toilet Issue,smelly toilet,Chaibasa,30,1,Low
3221,Drainage Blockage,Drain blocked,Giridih,18,3,High
3222,Electricity Outage,Bijli chali gayi,Ranchi,75,4,High
3223,Streetlight Not Working,Street dark at night,Giridih,61,5,High
3224,Electricity Outage,No electricity since morning,Dhanbad,58,3,High
3225,Water Leakage,leakage of pani,Dhanbad,30,5,Low
3226,Electricity Outage,No electricity since morning,Dhanbad,10,3,High
3227,Illegal Parking,illegal gaadi parking,Deoghar,76,0,High
3228,Pothole,khadda on street,Chaibasa,49,1,Low
3229,Pothole,Road broken badly,Bokaro,30,1,Medium
3230,Drainage Blockage,Drainage issue,Jamshedpur,23,1,Medium
3231,Illegal Parking,Cars parked illegally,Hazaribagh,28,0,Low
3232,Water Leakage,pipe se pani nikal raha hai,Jamshedpur,88,4,High
3233,Noise Pollution,Noise disturbing area,Ranchi,17,1,Medium
3234,Water Leakage,Water leakage near colony,Bokaro,15,2,Medium
3235,Pothole,pothol road broken hai,Dhanbad,50,1,High
3236,Streetlight Not Working,bulb kharab,Ranchi,75,1,High
3237,Water Leakage,Pipeline burst,Giridih,19,0,High
3238,Streetlight Not Working,Streetlight issue,Bokaro,27,2,High
3239,Pothole,pothol road broken hai,Dhanbad,82,0,High
3240,Drainage Blockage,dirty water overflow,Hazaribagh,48,5,High
3241,Noise Pollution,DJ loud hai,Chaibasa,39,0,Medium
3242,Streetlight Not Working,Light not working,Bokaro,17,5,High
3243,Road Damage,road crack,Hazaribagh,98,0,High
3244,Streetlight Not Working,bulb kharab,Jamshedpur,56,0,High
3245,Garbage Dump,ganda kachra near market,Chaibasa,10,5,Medium
3246,Pothole,khadda on street,Chaibasa,44,1,Medium
3247,Road Damage,bad road condition,Deoghar,11,5,High
3248,Noise Pollution,DJ loud hai,Dhanbad,7,1,Medium
3249,Road Damage,bad road condition,Ranchi,87,3,Medium
3250,Drainage Blockage,Nali jam hai,Dhanbad,31,1,Medium
3251,Water Leakage,leakage of pani,Giridih,9,1,High
3252,Public Toilet Issue,Public toilet problem,Hazaribagh,10,0,High
3253,Streetlight Not Working,Street dark at night,Bokaro,58,2,High
3254,Water Leakage,pipe se pani nikal raha hai,Deoghar,33,3,High
3255,Road Damage,bad road condition,Jamshedpur,91,2,Medium
3256,Illegal Parking,illegal gaadi parking,Jamshedpur,43,4,Medium
3257,Garbage Dump,ganda kachra near market,Ranchi,12,2,High
